program_id,source_url,program_name_suffix,city,state,data_last_updated,accredited_training_length,required_training_length,affiliated_us_government,raw_ng_state_json,specialty_title,first_year_positions,interviews_conducted_last_year,avg_hours_on_duty_y1,pct_do,pct_img,pct_usmd,program_best_described_as,website,special_features_text,accepting_applications_2025_2026,accepting_applications_2026_2027,program_start_dates,participates_in_eras,visa_statuses_accepted,program_director_email,program_director_phone,contact_email,contact_phone
1404821422,https://freida.ama-assn.org/program/1404821422,Baylor College of Medicine Program,Houston,TX,2025-03-28T08:08:20+00:00,3,3,Not affiliated with US Government,,Internal Medicine,64,500,70,2.3,4.3,93.4,University-based,http://www.bcm.edu/departments/medicine/education/,"QI/Patient safety curriculum and specialty certification, tropical medicine certification, peer and faculty mentoring groups, an annual retreat, robust simulation program, Academy of Residents as Teachers, and wellness program. Extensive research opportunities. Diversity, equity and inclusion curriculum.",False,True,"['June', 'July']",True,"['J-1 through ECFMG', 'F-1']",,,,
1402421162,https://freida.ama-assn.org/program/1402421162,Beth Israel Deaconess Medical Center Program,Boston,MA,2025-03-28T12:36:00+00:00,3,3,Not affiliated with US Government,,Internal Medicine,64,650,68,0.0,1.0,98.8,University-based,https://www.bidmc.org/imresidency,"At BIDMC we are deeply committed to medical education, and have designed a curriculum tailored to the diverse needs and career goals of each resident, helping them to thrive and become future internists, specialists, and academic leaders. In addition to our formal tracks, residents participate in a robust and innovative QI/PS curriculum, and with the help of outstanding mentors, a research course, and dedicated research time; the majority of the residents successfully complete research projects.",False,True,['June'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1400521064,https://freida.ama-assn.org/program/1400521064,University of California (San Francisco) Program,San Francisco,CA,2025-03-28T11:20:01+00:00,3,3,Not affiliated with US Government,,Internal Medicine,64,280,72,0.0,0.2,99.8,University-based,https://medicine.ucsf.edu/residency-programs,"UCSF is a top mission-driven, public institution with stellar clinical and academic opportunities. The program offers training in three distinct hospital populations and the following areas of distinction: Molecular Medicine, Health Advocacy, Health Professions Education, Health Systems Leadership, Global Health, leadership, PRIME, Informatics. The R2 and R3 years are a 4+4 model with an innovative longitudinal clinical curriculum to learn both primary care and subspecialty medicine.",False,True,['June'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1402521187,https://freida.ama-assn.org/program/1402521187,University of Michigan Program,Ann Arbor,MI,2025-03-28T12:36:00+00:00,3,3,Not affiliated with US Government,,Internal Medicine,62,600,63,0.0,0.2,99.8,University-based,http://www.med.umich.edu/intmed/resident,"Our residents represent a talented, highly-motivated group of individuals. The department's strength in investigation and clinical care delivery coupled with outstanding full-time faculty make the University of Michigan a unique training environment. https://medicine.umich.edu/dept/intmed/education-training/residency-program",False,True,['June'],True,['J-1 through ECFMG'],,,,
1402821215,https://freida.ama-assn.org/program/1402821215,Washington University/B-JH/SLCH Consortium Program,St Louis,MO,2025-03-28T12:36:00+00:00,3,3,Not affiliated with US Government,,Internal Medicine,62,500,60,0.0,2.7,97.3,University-based,https://internalmedicineresidency.wustl.edu/,"We provide an extensive clinical experience in a 1400-bed, tertiary referral center along with opportunities to participate in research, education, quality improvement, global health, advocacy, and primary care through formal training tracks, mentorship, and the abundant resources of one of the nation's premiere academic institutions.  Learn from clinics and consult rotations in any of our top-ranked subspecialties and thrive in a program that prioritizes a culture of growth and camaraderie.",False,True,"['June', 'July']",True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1402321160,https://freida.ama-assn.org/program/1402321160,University of Maryland Program,Baltimore,MD,2025-03-28T12:36:00+00:00,3,3,Not affiliated with US Government,,Internal Medicine,61,660,68,1.0,8.7,90.3,University-based,http://www.umm.edu/imres,"The University of Maryland is a major urban academic center that serves a broad spectrum of patients from Baltimore City and surrounding communities. Our curriculum supports robust clinical training in a learning environment that promotes a healthy work-life balance. Approximately 70% pursue fellowships. In addition to an annual educational allowance, we subsidize 90% of parking, the ABIM Certification exam, national abstract presentations, manuscript publications, and international rotations.",False,True,"['June', 'July']",True,['J-1 through ECFMG'],,,,
1402312159,https://freida.ama-assn.org/program/1402312159,MedStar Health Georgetown University (Baltimore) Program,Baltimore,MD,2025-03-28T12:36:00+00:00,3,3,Not affiliated with US Government,,Internal Medicine,60,300,60,6.3,83.1,10.6,Community-based university affiliated,https://www.medstarhealth.org/mhim,"We're so glad you've chosen to apply to our program! Please note this program is locally known and on our website as MedStar Health Internal Medicine, Baltimore. This program is the only internal medicine residency at MedStar Good Samaritan, MedStar Franklin Square, MedStar Harbor Hospital, and MedStar Union Memorial hospitals. Applying to this program encompasses all of those locations and includes both preliminary and categorical tracks.",False,True,"['June', 'July']",True,"['J-1 through ECFMG', 'H-1B']",,,,
1400511046,https://freida.ama-assn.org/program/1400511046,UCLA David Geffen School of Medicine/UCLA Medical Center Program,Los Angeles,CA,2025-03-28T11:20:01+00:00,3,3,Not affiliated with US Government,,Internal Medicine,60,500,60,0.0,0.7,99.3,University-based,https://www.uclahealth.org/im-residency/,,False,True,['June'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1404921427,https://freida.ama-assn.org/program/1404921427,University of Utah Health Program,Salt Lake City,UT,2025-03-28T08:08:20+00:00,3,3,Not affiliated with US Government,,Internal Medicine,60,550,55,1.6,7.1,91.2,University-based,http://medicine.utah.edu/internalmedicine/residency/,"From high-value care training, to Global Health electives in Rwanda and Colombia, to addiction medicine training, to the Utah StARR track, we continue innovating to meet the diverse needs of our residents and their future patients. Our program mission is: To provide exceptional, high quality, diverse clinical experiences, to allow for individualized education plans and experiences, to optimize education within workflow, and to engage residents in leadership and allow them to lead.",False,True,['June'],True,['J-1 through ECFMG'],,,,
1400721073,https://freida.ama-assn.org/program/1400721073,University of Colorado Program,Aurora,CO,2025-03-28T11:20:01+00:00,3,3,Not affiliated with US Government,,Internal Medicine,59,525,62,0.6,1.2,98.1,University-based,https://medschool.cuanschutz.edu/medicine/residency,"Join the University of Colorado IM residency program as we cultivate the next generation of physician-leaders in patient care, biomedical discovery, educational innovation, and health systems design. We provide a multi-site clinical experience, curricular tracks and pathways to customize your training, dedicated and diverse faculty and layers of mentorship and coaching. Our graduates are successful, confident, lifelong learners. Find more at https://medschool.cuanschutz.edu/medicine/residency",False,False,['June'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1403511304,https://freida.ama-assn.org/program/1403511304,Zucker School of Medicine at Hofstra/Northwell at Staten Island University Hospital Program,Staten Island,NY,2025-05-15T21:46:44+00:00,3,3,Not affiliated with US Government,,Internal Medicine,58,949,65,20.6,60.2,19.1,Community-based university affiliated,https://physicians.northwell.edu/education/graduate-medical-education/residency-internal-medicine-staten-island-university-hospital,"1) 4+1 structure. 2) subspecialty clinic assigned. 3) Protected time for teaching, 1/2 day academic days. 4) Med ED Track. 5) Research Track. 6) Performance Improvement projects. 7) POCUS rotation. 8) Community outreach services. 9) Research mentoring. 10) Resident wellness days. 11) Global Health",False,True,"['June', 'Negotiable']",True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1403621320,https://freida.ama-assn.org/program/1403621320,Duke University Hospital Program,Durham,NC,2025-03-28T08:08:20+00:00,3,3,Not affiliated with US Government,,Internal Medicine,57,375,64,0.2,2.1,97.7,University-based,http://residency.medicine.duke.edu,"Our mission is to create an engaging, diverse, adaptive learning environment to train leaders in clinical care, research, advocacy, education, and innovation. We achieve our goals by focusing on 3 pillars of development: - 1) Clinical - growth through graduated autonomy  - 2) Professional - finding your ""and"" through unique tracks and robust mentorship - 3) Personal - supported individual growth - We value resident feedback and view our residents and their significant others as part of our Duke ",False,True,['June'],True,"['J-1 through ECFMG', 'F-1']",,,,
1403511261,https://freida.ama-assn.org/program/1403511261,Icahn School of Medicine at Mount Sinai/Beth Israel Program,New York,NY,2025-03-28T08:08:20+00:00,3,3,Not affiliated with US Government,,Internal Medicine,56,0,60,8.3,47.7,44.0,Community-based university affiliated,,"We offer the following unique educational programming in addition to our regular electives and rotations: Medical Education Track (2y), Leadership Development Program (1y), Patient Safety/Quality Improvement elective, Hospitalist elective, and a Critical Care/POCUS elective.",False,False,['July'],False,[],,,,
1403531288,https://freida.ama-assn.org/program/1403531288,Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital Program,New York,NY,2025-03-28T08:08:20+00:00,3,3,Not affiliated with US Government,,Internal Medicine,56,550,65,0.0,1.8,98.2,University-based,http://www.mssm.edu/medicine/residency/,"Research Track for physician-scientists. Community Primary Care Track, Medical Education Track, Health Care Leadership Track, and Medical Genomics Track, Global Health Track, R38 Research Pathway available.",False,True,['July'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1403812339,https://freida.ama-assn.org/program/1403812339,Cleveland Clinic Foundation Program,Cleveland,OH,2025-03-28T08:08:20+00:00,3,3,Not affiliated with US Government,,Internal Medicine,55,600,64,17.0,29.2,53.8,Community-based university affiliated,https://my.clevelandclinic.org/departments/medicine/medical-professionals/,"The Cleveland Clinic Internal Medicine Residency Program cultivates internists who achieve distinction in clinical care, scholarship, leadership, collaboration, and commitment to lifelong learning within a supportive, innovative learning environment that fosters diversity and inclusion.",False,True,['July'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
